J.D.-2400000	FILTER	Relative Flux	Relative Flux Error
57985.39821	R	0.82403	0.003275
57985.39903	R	0.812995	0.003214
57985.39984	R	0.82122	0.003256
57985.40065	R	0.819795	0.003241
57985.40146	R	0.821966	0.003245
57985.40228	R	0.824693	0.003255
57985.40309	R	0.829799	0.003301
57985.4039	R	0.832293	0.003272
57985.40472	R	0.831088	0.003267
57985.40553	R	0.823969	0.003234
57985.40634	R	0.832461	0.003263
57985.40715	R	0.83106	0.003262
57985.40797	R	0.833252	0.003269
57985.40878	R	0.835889	0.003279
57985.40959	R	0.83747	0.003277
57985.4104	R	0.839335	0.003287
57985.41122	R	0.840007	0.003289
57985.41203	R	0.844195	0.003312
57985.41284	R	0.848635	0.003322
57985.41366	R	0.841039	0.003292
57985.41447	R	0.853187	0.003344
57985.41528	R	0.84822	0.003323
57985.4161	R	0.849385	0.003321
57985.41691	R	0.840931	0.003286
57985.41772	R	0.849276	0.003322
57985.41854	R	0.847434	0.003303
57985.41935	R	0.852242	0.003321
57985.42016	R	0.85582	0.003333
57985.42097	R	0.849161	0.003314
57985.42179	R	0.861982	0.003365
57985.4226	R	0.855707	0.003338
57985.42341	R	0.854145	0.003322
57985.42422	R	0.855948	0.003337
57985.42504	R	0.862401	0.00336
57985.42585	R	0.860735	0.003357
57985.42666	R	0.866255	0.003379
57985.42747	R	0.866812	0.003369
57985.42829	R	0.859677	0.003338
57985.4291	R	0.864722	0.00337
57985.42991	R	0.863074	0.003362
